Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters,Relative
C00029,,Metabolite,0.001,,,,v521
C04144,,Metabolite,0.001,,,,v522
C00062,,Metabolite,0.001,,,,v523
C04261,,Metabolite,0.001,,,,v524
C02989,,Metabolite,0.001,,,,v525
C14463,,Metabolite,0.001,,,,v526
C07836,,Metabolite,0.001,,,,v527
C16433,,Metabolite,0.001,,,,v528
C00716,,Metabolite,0.001,,,,v529
C07648,,Metabolite,0.001,,,,v530
C00177,,Metabolite,0.001,,,,v531
C05756,,Metabolite,0.001,,,,v532
C06055,,Metabolite,0.001,,,,v533
C16634,,Metabolite,0.001,,,,v534
C01187,,Metabolite,0.001,,,,v535
C00236,,Metabolite,0,,,,v536
C14859,,Metabolite,0.001,,,,v537
C00445,,Metabolite,0.001,,,,v538
C05814,,Metabolite,0.001,,,,v539
C00039,,Metabolite,0.001,,,,v540
C05746,,Metabolite,0.001,,,,v541
C00139,,Metabolite,0.001,,,,v542
C05766,,Metabolite,0.001,,,,v543
C00352,,Metabolite,0.001,,,,v544
C00134,,Metabolite,0.001,,,,v545
C00257,,Metabolite,0.001,,,,v546
C16237,,Metabolite,0.001,,,,v547
C14851,,Metabolite,0.001,,,,v548
C00011,,Metabolite,0.001,,,,v549
C05577,,Metabolite,0.001,,,,v550
C05768,,Metabolite,0.001,,,,v551
C01051,,Metabolite,0.001,,,,v552
C16219,,Metabolite,0.001,,,,v553
C03785,,Metabolite,0.001,,,,v554
C02992,,Metabolite,0.001,,,,v555
C05922,,Metabolite,0.001,,,,v556
C00078,,Metabolite,0.001,,,,v557
C02739,,Metabolite,0.001,,,,v558
C00094,,Metabolite,0.001,,,,v559
C00719,,Metabolite,0.001,,,,v560
C11278,,Metabolite,0.001,,,,v561
C04232,,Metabolite,0.001,,,,v562
C05445,,Metabolite,0.001,,,,v563
C02441,,Metabolite,0.001,,,,v564
C00460,,Metabolite,0.001,,,,v565
C01235,,Metabolite,0.001,,,,v566
C07490,,Metabolite,0.001,,,,v567
C00112,,Metabolite,0.001,,,,v568
C07182,,Metabolite,0.001,,,,v569
C11583,,Metabolite,0.001,,,,v570
C01646,,Metabolite,0.001,,,,v571
C00760,,Metabolite,0.001,,,,v572
C00143,,Metabolite,0.001,,,,v573
C05404,,Metabolite,0.001,,,,v574
C00671,,Metabolite,0.001,,,,v575
C00345,,Metabolite,3.8,,,,v576
C01450,,Metabolite,0.001,,,,v577
C00044,,Metabolite,0.001,,,,v578
C01157,,Metabolite,0.001,,,,v579
C04146,,Metabolite,0.001,,,,v580
C00042,,Metabolite,7.1692,,,,v581
C00322,,Metabolite,0.001,,,,v582
C01103,,Metabolite,0.001,,,,v583
C05167,,Metabolite,0.001,,,,v584
C03539,,Metabolite,0.001,,,,v585
C02412,,Metabolite,0.001,,,,v586
C00742,,Metabolite,0.001,,,,v587
C00069,,Metabolite,0.001,,,,v588
C11477,,Metabolite,0.001,,,,v589
C05336,,Metabolite,0.001,,,,v590
C04478,,Metabolite,0.001,,,,v591
C00014,,Metabolite,0.001,,,,v592
C14848,,Metabolite,0.001,,,,v593
C00693,,Metabolite,0.001,,,,v594
C01094,,Metabolite,0.001,,,,v595
C06156,,Metabolite,0.001,,,,v596
C03148,,Metabolite,0.001,,,,v597
C00199,,Metabolite,0.5,,,,v598
C05576,,Metabolite,0.001,,,,v599
C01146,,Metabolite,0.001,,,,v600
C05400,,Metabolite,0.001,,,,v601
C14839,,Metabolite,0.001,,,,v602
C01013,,Metabolite,0.001,,,,v603
C01649,,Metabolite,0.001,,,,v604
C04895,,Metabolite,0.001,,,,v605
C00058,,Metabolite,0,,,,v606
C06311,,Metabolite,0.001,,,,v607
C14819,,Metabolite,0.001,,,,v608
C14792,,Metabolite,0.001,,,,v609
C00506,,Metabolite,0.001,,,,v610
C00469,,Metabolite,0.001,,,,v611
C01290,,Metabolite,0.001,,,,v612
C00705,,Metabolite,0.001,,,,v613
C00048,,Metabolite,0,,,,v614
C16663,,Metabolite,0.001,,,,v615
C03319,,Metabolite,0.001,,,,v616
C00576,,Metabolite,0.001,,,,v617
C06010,,Metabolite,0.001,,,,v618
C00931,,Metabolite,0.001,,,,v619
C00229,,Metabolite,0.001,,,,v620
C14803,,Metabolite,0.001,,,,v621
C00575,,Metabolite,0.001,,,,v622
C05759,,Metabolite,0.001,,,,v623
C03633,,Metabolite,0.001,,,,v624
C07649,,Metabolite,0.001,,,,v625
C00988,,Metabolite,0.001,,,,v626
C00192,,Metabolite,0.001,,,,v627
C00357,,Metabolite,0.001,,,,v628
C01635,,Metabolite,0.001,,,,v629
C00212,,Metabolite,0.001,,,,v630
C05947,,Metabolite,0.001,,,,v631
C00390,,Metabolite,0.001,,,,v632
C00364,,Metabolite,0.001,,,,v633
C02553,,Metabolite,0.001,,,,v634
C04646,,Metabolite,0.001,,,,v635
C19586,,Metabolite,0.001,,,,v636
C13645,,Metabolite,0.001,,,,v637
C02554,,Metabolite,0.001,,,,v638
C00144,,Metabolite,0.001,,,,v639
C05712,,Metabolite,0.001,,,,v640
C00399,,Metabolite,0.001,,,,v641
C01031,,Metabolite,0.001,,,,v642
C00084,,Metabolite,0,,,,v643
C00117,,Metabolite,0.5,,,,v644
C07645,,Metabolite,0.001,,,,v645
C00155,,Metabolite,0.001,,,,v646
C00527,,Metabolite,0.001,,,,v647
C04688,,Metabolite,0.001,,,,v648
C00673,,Metabolite,0.001,,,,v649
C01172,,Metabolite,0.001,,,,v650
C00860,,Metabolite,0.001,,,,v651
C00473,,Metabolite,0.001,,,,v652
C05813,,Metabolite,0.001,,,,v653
C01368,,Metabolite,0.001,,,,v654
C01021,,Metabolite,0.001,,,,v655
C00741,,Metabolite,0.001,,,,v656
C00334,,Metabolite,0.001,,,,v657
C00231,,Metabolite,0.5,,,,v658
