,Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI,Keq
288,Heterologous,4.3.1.17,Dictyostelium discoideum,R289,L-serine ammonia-lyase,R08698,MRL,C00001; C02218,C00014; C00022,Km_C00014: 2.321814537; Km_C00022: 0.786924958; Km_C00001: 1.243283153; Km_C02218: 1.603482008,Kcat_F: 1.10709272; Kcat_R: 16.004088045,C05167;C00001;C00022;C00065;C00161;C02218;C00014,C00001_KI: 1.243283153;C00065_KI: 0.995956302;C05167_KI: 1.3902921916;C02218_KI: 1.603482008;C00022_KI: 0.786924958;C00161_KI: 1.3902921916;C00014_KI: 2.321814537,Keq: 16435.19273313509
290,,2.7.7.6,Escherichia coli,R291,Dna-directed rna polymerase,R00444,MRL,C00201,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.09928064; Km_C00201: 0.09928064,Kcat_F: 19.78221183941891; Kcat_R: 0.003180952,C00075;C00201;C00063;C00044;C00013;C00002;C00046,C00063_KI: 0.053723808;C00075_KI: 0.110227138;C00201_KI: 0.06970829640000001;C00046_KI: 0.06970829640000001;C00002_KI: 0.034111816;C00044_KI: 0.05119808;C00013_KI: 0.09928064,
291,,2.7.7.6,Escherichia coli,R292,Dna-directed rna polymerase,R00435,MRL,C00002,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.066696228; Km_C00002: 0.034111816,Kcat_F: 0.09186744; Kcat_R: 0.003180952,C00075;C00201;C00063;C00044;C00013;C00002;C00046,C00063_KI: 0.053723808;C00075_KI: 0.110227138;C00201_KI: 0.06970829640000001;C00046_KI: 0.06970829640000001;C00002_KI: 0.034111816;C00044_KI: 0.05119808;C00013_KI: 0.09928064,
292,,2.7.7.6,Escherichia coli,R293,Dna-directed rna polymerase,R00441,MRL,C00044,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.07523936; Km_C00044: 0.05119808,Kcat_F: 0.057736397; Kcat_R: 0.003180952,C00075;C00201;C00063;C00044;C00013;C00002;C00046,C00063_KI: 0.053723808;C00075_KI: 0.110227138;C00201_KI: 0.06970829640000001;C00046_KI: 0.06970829640000001;C00002_KI: 0.034111816;C00044_KI: 0.05119808;C00013_KI: 0.09928064,
293,,2.7.7.6,Escherichia coli,R294,Dna-directed rna polymerase,R00442,MRL,C00063,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.07650222400000001; Km_C00063: 0.053723808,Kcat_F: 0.057857452; Kcat_R: 0.003180952,C00075;C00201;C00063;C00044;C00013;C00002;C00046,C00063_KI: 0.053723808;C00075_KI: 0.110227138;C00201_KI: 0.06970829640000001;C00046_KI: 0.06970829640000001;C00002_KI: 0.034111816;C00044_KI: 0.05119808;C00013_KI: 0.09928064,
294,,2.7.7.6,Escherichia coli,R295,Dna-directed rna polymerase,R00443,MRL,C00075,C00013; C00046,Km_C00013: 0.09928064; Km_C00046: 0.104753889; Km_C00075: 0.110227138,Kcat_F: 0.049924272; Kcat_R: 0.003180952,C00075;C00201;C00063;C00044;C00013;C00002;C00046,C00063_KI: 0.053723808;C00075_KI: 0.110227138;C00201_KI: 0.06970829640000001;C00046_KI: 0.06970829640000001;C00002_KI: 0.034111816;C00044_KI: 0.05119808;C00013_KI: 0.09928064,
295,,5.2.1.8,Escherichia coli,R296,Peptidylprolyl isomerase,R04273,MRL,C03798,C03633,Km_C03633: 11.421359055528603; Km_C03798: 11.421359055528603,Kcat_F: 19.78221183941891; Kcat_R: 19.78221183941891,C03633;C03798,C03633_KI: 0.9685395753562895;C03798_KI: 0.9685395753562895,
298,,6.3.5.5,Escherichia coli,R299,Carbamoyl-phosphate synthase (glutamine-hydrolysing),R07641,MRL,C00002; C00014; C00288,C00008; C00009; C00169,Km_C00008: 0.055322122; Km_C00009: 1.365577102; Km_C00169: 0.34583804; Km_C00002: 0.067236871; Km_C00014: 2.051671028; Km_C00288: 1.4766666666666666,Kcat_F: 6.907218447666666; Kcat_R: 4.993787842666666,C00064;C00009;C00014;C00001;C00288;C00169;C00025;C00008;C00002,C00008_KI: 0.055322122;C00014_KI: 2.051671028;C00001_KI: 0.812423646;C00025_KI: 0.995128751;C00002_KI: 0.067236871;C00009_KI: 1.365577102;C00169_KI: 0.34583804;C00288_KI: 1.407387018;C00064_KI: 0.4618738,
299,,6.1.1.7,Escherichia coli,R300,Alanine-trna ligase,R03038,MRL,C00002; C00041; C01635,C00013; C00020; C00886,Km_C00013: 0.072413243; Km_C00020: 0.022911394; Km_C00886: 0.0706742942; Km_C00002: 0.025530493; Km_C00041: 0.230766341; Km_C01635: 0.0017499999999999998,Kcat_F: 1.517066951; Kcat_R: 1.5705551025000002,C00020;C00886;C01635;C00013;C00041;C00002,C00013_KI: 0.072413243;C00002_KI: 0.025530493;C00041_KI: 0.230766341;C01635_KI: 0.08790536774999999;C00020_KI: 0.022911394;C00886_KI: 0.08790536774999999,
300,,6.1.1.15,Escherichia coli,R301,Proline-trna ligase,R03661,MRL,C00002; C00148; C01649,C00013; C00020; C02702,Km_C00013: 0.223068416; Km_C00020: 0.065034218; Km_C02702: 0.1107568676; Km_C00002: 0.089042157; Km_C00148: 0.162499547; Km_C01649: 0.01414,Kcat_F: 1.194108566; Kcat_R: 0.9549211915,C01649;C00020;C02702;C00013;C00002;C00148,C01649_KI: 0.13491108449999997;C00013_KI: 0.223068416;C00148_KI: 0.162499547;C00020_KI: 0.065034218;C02702_KI: 0.13491108449999997;C00002_KI: 0.089042157,
301,,6.1.1.5,Escherichia coli,R302,Isoleucine-trna ligase,R03656,MRL,C00002; C00407; C01644,C00013; C00020; C03127,Km_C00013: 0.039245732; Km_C00020: 0.01626548; Km_C03127: 0.0243369574; Km_C00002: 0.018193932; Km_C00407: 0.045879643; Km_C01644: 0.0021,Kcat_F: 10.395218501666667; Kcat_R: 12.780535491,C01644;C00020;C03127;C00407;C00013;C00002,C00013_KI: 0.039245732;C03127_KI: 0.02989619675;C01644_KI: 0.02989619675;C00020_KI: 0.01626548;C00407_KI: 0.045879643;C00002_KI: 0.018193932,
302,,6.1.1.20,Escherichia coli,R303,Phenylalanine-trna ligase,R03660,MRL,C00002; C00079; C01648,C00013; C00020; C03511,Km_C00013: 0.110224701; Km_C00020: 0.021949925; Km_C03511: 0.0410671938; Km_C00002: 0.027728623; Km_C00079: 0.04255772; Km_C01648: 0.002875,Kcat_F: 8.636955886666668; Kcat_R: 5.9763161745,C03511;C00020;C01648;C00079;C00013;C00002,C03511_KI: 0.05061524225;C00013_KI: 0.110224701;C00002_KI: 0.027728623;C00079_KI: 0.04255772;C00020_KI: 0.021949925;C01648_KI: 0.05061524225,
305,,6.1.1.11,Escherichia coli,R306,Serine-trna ligase,R03662,MRL,C00002; C00065; C01650,C00013; C00020; C02553,Km_C00013: 0.00750173; Km_C00020: 0.001468161; Km_C02553: 0.0055857832000000005; Km_C00002: 0.001039614; Km_C00065: 0.017359411; Km_C01650: 0.00056,Kcat_F: 41.893331030000006; Kcat_R: 49.234747755,C01650;C00020;C00013;C02553;C16636;C06481;C00065;C00002,C16636_KI: 0.003100337;C06481_KI: 0.006093850600000001;C00002_KI: 0.001039614;C01650_KI: 0.006093850600000001;C00013_KI: 0.00750173;C02553_KI: 0.006093850600000001;C00020_KI: 0.001468161;C00065_KI: 0.017359411,
306,,6.1.1.11,Escherichia coli,R307,Serine-trna ligase,R08218,MRL,C00002; C00065; C16636,C00013; C00020; C06481,Km_C00013: 0.00750173; Km_C00020: 0.001468161; Km_C06481: 0.006093850600000001; Km_C00002: 0.001039614; Km_C00065: 0.017359411; Km_C16636: 0.003100337,Kcat_F: 32.97343452666667; Kcat_R: 49.234747755,C01650;C00020;C00013;C02553;C16636;C06481;C00065;C00002,C16636_KI: 0.003100337;C06481_KI: 0.006093850600000001;C00002_KI: 0.001039614;C01650_KI: 0.006093850600000001;C00013_KI: 0.00750173;C02553_KI: 0.006093850600000001;C00020_KI: 0.001468161;C00065_KI: 0.017359411,
308,,6.1.1.4,Escherichia coli,R309,Leucine-trna ligase,R03657,MRL,C00002; C00123; C01645,C00013; C00020; C02047,Km_C00013: 0.073589049; Km_C00020: 0.062845066; Km_C02047: 1650.00105; Km_C00002: 0.054785959; Km_C00123: 0.017924244; Km_C01645: 0.00016,Kcat_F: 1.797755422; Kcat_R: 4.024251986666667,C00020;C00002;C02047;C00013;C01645;C00123,C00002_KI: 0.054785959;C02047_KI: 0.052286079500000006;C00013_KI: 0.073589049;C00123_KI: 0.017924244;C00020_KI: 0.062845066;C01645_KI: 0.052286079500000006,
310,,6.1.1.14,Escherichia coli,R311,Glycine-trna ligase,R03654,MRL,C00002; C00037; C01642,C00013; C00020; C02412,Km_C00013: 0.058370113; Km_C00020: 0.016059648; Km_C02412: 0.042143158199999996; Km_C00002: 0.017320372; Km_C00037: 0.109865658; Km_C01642: 0.0091,Kcat_F: 7.7915478485000005; Kcat_R: 6.477863011,C00020;C01642;C02412;C00037;C00013;C00002,C00002_KI: 0.017320372;C00020_KI: 0.016059648;C02412_KI: 0.05040394775;C01642_KI: 0.05040394775;C00013_KI: 0.058370113;C00037_KI: 0.109865658,
312,,2.7.3.9,Escherichia coli,R313,Phosphoenolpyruvate-protein phosphotransferase,R02628,MRL,C00074; C00615,C00022; C04261,Km_C00022: 0.363707393; Km_C04261: 0.2768536965; Km_C00074: 0.19; Km_C00615: 0.2768536965,Kcat_F: 0.213811689; Kcat_R: 1.430127998,C00074;C00615;C00022;C04261,C00022_KI: 0.363707393;C00074_KI: 0.137160346;C04261_KI: 0.2504338695;C00615_KI: 0.2504338695,
323,,3.2.1.22,Escherichia coli,R324,Alpha-galactosidase,R01104,MRL,C00001; C05401,C00116; C00124,Km_C00116: 11.27495575; Km_C00124: 14.55188179; Km_C00001: 5.090140343; Km_C05401: 11.91046715,Kcat_F: 8.6583680975; Kcat_R: 7.6294844525,C00159;C05404;C04737;C00031;C01290;C05401;C02686;C00137;C00001;C05402;C00492;C05400;C05399;C00794;C06126;C00116;C01613;C00124;C06037;C03692;C01235;C00089,C00116_KI: 11.27495575;C03692_KI: 10.037124306125;C05401_KI: 11.91046715;C00124_KI: 14.55188179;C01290_KI: 10.037124306125;C01235_KI: 10.24762726;C05400_KI: 9.408344269;C00001_KI: 5.090140343;C00089_KI: 11.26636791;C00794_KI: 10.86484718;C06126_KI: 10.037124306125;C00031_KI: 14.55188179;C01613_KI: 6.016309738;C05404_KI: 5.508523941;C00492_KI: 6.633991241;C00159_KI: 14.55188179;C02686_KI: 10.037124306125;C00137_KI: 12.13025475;C06037_KI: 10.037124306125;C05402_KI: 9.408344269;C04737_KI: 10.037124306125;C05399_KI: 7.178169727,
324,,3.2.1.22,Escherichia coli,R325,Alpha-galactosidase,R01194,MRL,C00001; C01235,C00124; C00137,Km_C00124: 14.55188179; Km_C00137: 12.13025475; Km_C00001: 5.090140343; Km_C01235: 10.24762726,Kcat_F: 8.260548267499999; Kcat_R: 8.005526088,C00159;C05404;C04737;C00031;C01290;C05401;C02686;C00137;C00001;C05402;C00492;C05400;C05399;C00794;C06126;C00116;C01613;C00124;C06037;C03692;C01235;C00089,C00116_KI: 11.27495575;C03692_KI: 10.037124306125;C05401_KI: 11.91046715;C00124_KI: 14.55188179;C01290_KI: 10.037124306125;C01235_KI: 10.24762726;C05400_KI: 9.408344269;C00001_KI: 5.090140343;C00089_KI: 11.26636791;C00794_KI: 10.86484718;C06126_KI: 10.037124306125;C00031_KI: 14.55188179;C01613_KI: 6.016309738;C05404_KI: 5.508523941;C00492_KI: 6.633991241;C00159_KI: 14.55188179;C02686_KI: 10.037124306125;C00137_KI: 12.13025475;C06037_KI: 10.037124306125;C05402_KI: 9.408344269;C04737_KI: 10.037124306125;C05399_KI: 7.178169727,
325,,3.2.1.22,Escherichia coli,R326,Alpha-galactosidase,R01329,MRL,C00001; C05400,C00124; C00159,Km_C00124: 14.55188179; Km_C00159: 14.55188179; Km_C00001: 5.090140343; Km_C05400: 9.408344269,Kcat_F: 8.2433162475; Kcat_R: 8.221061924,C00159;C05404;C04737;C00031;C01290;C05401;C02686;C00137;C00001;C05402;C00492;C05400;C05399;C00794;C06126;C00116;C01613;C00124;C06037;C03692;C01235;C00089,C00116_KI: 11.27495575;C03692_KI: 10.037124306125;C05401_KI: 11.91046715;C00124_KI: 14.55188179;C01290_KI: 10.037124306125;C01235_KI: 10.24762726;C05400_KI: 9.408344269;C00001_KI: 5.090140343;C00089_KI: 11.26636791;C00794_KI: 10.86484718;C06126_KI: 10.037124306125;C00031_KI: 14.55188179;C01613_KI: 6.016309738;C05404_KI: 5.508523941;C00492_KI: 6.633991241;C00159_KI: 14.55188179;C02686_KI: 10.037124306125;C00137_KI: 12.13025475;C06037_KI: 10.037124306125;C05402_KI: 9.408344269;C04737_KI: 10.037124306125;C05399_KI: 7.178169727,
326,,3.2.1.22,Escherichia coli,R327,Alpha-galactosidase,R02926,MRL,C00001; C05399,C00124; C00794,Km_C00124: 14.55188179; Km_C00794: 10.86484718; Km_C00001: 5.090140343; Km_C05399: 7.178169727,Kcat_F: 6.848955463999999; Kcat_R: 7.658983285,C00159;C05404;C04737;C00031;C01290;C05401;C02686;C00137;C00001;C05402;C00492;C05400;C05399;C00794;C06126;C00116;C01613;C00124;C06037;C03692;C01235;C00089,C00116_KI: 11.27495575;C03692_KI: 10.037124306125;C05401_KI: 11.91046715;C00124_KI: 14.55188179;C01290_KI: 10.037124306125;C01235_KI: 10.24762726;C05400_KI: 9.408344269;C00001_KI: 5.090140343;C00089_KI: 11.26636791;C00794_KI: 10.86484718;C06126_KI: 10.037124306125;C00031_KI: 14.55188179;C01613_KI: 6.016309738;C05404_KI: 5.508523941;C00492_KI: 6.633991241;C00159_KI: 14.55188179;C02686_KI: 10.037124306125;C00137_KI: 12.13025475;C06037_KI: 10.037124306125;C05402_KI: 9.408344269;C04737_KI: 10.037124306125;C05399_KI: 7.178169727,
329,,3.2.1.22,Escherichia coli,R330,Alpha-galactosidase,R04019,MRL,C00001; C06126,C00124; C02686,Km_C00124: 14.55188179; Km_C02686: 9.821011066499999; Km_C00001: 5.090140343; Km_C06126: 9.821011066499999,Kcat_F: 4.011620685; Kcat_R: 8.221061924,C00159;C05404;C04737;C00031;C01290;C05401;C02686;C00137;C00001;C05402;C00492;C05400;C05399;C00794;C06126;C00116;C01613;C00124;C06037;C03692;C01235;C00089,C00116_KI: 11.27495575;C03692_KI: 10.037124306125;C05401_KI: 11.91046715;C00124_KI: 14.55188179;C01290_KI: 10.037124306125;C01235_KI: 10.24762726;C05400_KI: 9.408344269;C00001_KI: 5.090140343;C00089_KI: 11.26636791;C00794_KI: 10.86484718;C06126_KI: 10.037124306125;C00031_KI: 14.55188179;C01613_KI: 6.016309738;C05404_KI: 5.508523941;C00492_KI: 6.633991241;C00159_KI: 14.55188179;C02686_KI: 10.037124306125;C00137_KI: 12.13025475;C06037_KI: 10.037124306125;C05402_KI: 9.408344269;C04737_KI: 10.037124306125;C05399_KI: 7.178169727,
330,,3.2.1.22,Escherichia coli,R331,Alpha-galactosidase,R04470,MRL,C00001; C06037,C00124; C03692,Km_C00124: 14.55188179; Km_C03692: 9.821011066499999; Km_C00001: 5.090140343; Km_C06037: 9.821011066499999,Kcat_F: 4.011620685; Kcat_R: 8.221061924,C00159;C05404;C04737;C00031;C01290;C05401;C02686;C00137;C00001;C05402;C00492;C05400;C05399;C00794;C06126;C00116;C01613;C00124;C06037;C03692;C01235;C00089,C00116_KI: 11.27495575;C03692_KI: 10.037124306125;C05401_KI: 11.91046715;C00124_KI: 14.55188179;C01290_KI: 10.037124306125;C01235_KI: 10.24762726;C05400_KI: 9.408344269;C00001_KI: 5.090140343;C00089_KI: 11.26636791;C00794_KI: 10.86484718;C06126_KI: 10.037124306125;C00031_KI: 14.55188179;C01613_KI: 6.016309738;C05404_KI: 5.508523941;C00492_KI: 6.633991241;C00159_KI: 14.55188179;C02686_KI: 10.037124306125;C00137_KI: 12.13025475;C06037_KI: 10.037124306125;C05402_KI: 9.408344269;C04737_KI: 10.037124306125;C05399_KI: 7.178169727,
332,,6.1.1.9,Escherichia coli,R333,Valine-trna ligase,R03665,MRL,C00002; C00183; C01653,C00013; C00020; C02554,Km_C00013: 0.202436924; Km_C00020: 0.166665509; Km_C02554: 0.1329046838; Km_C00002: 0.198360145; Km_C00183: 0.096970841; Km_C01653: 9e-05,Kcat_F: 12.250992328; Kcat_R: 3.506267026,C02554;C00020;C00183;C00013;C01653;C00002,C00002_KI: 0.198360145;C00020_KI: 0.166665509;C00013_KI: 0.202436924;C00183_KI: 0.096970841;C01653_KI: 0.16610835475;C02554_KI: 0.16610835475,
334,,1.1.1.205,Escherichia coli,R335,Imp dehydrogenase,R08240,MRL,C00001; C00003; C04646,C00004; C00080; C16618,Km_C00004: 0.046484388; Km_C00080: 5.048990726; Km_C16618: 1.9489427653999996; Km_C00001: 4.488901615; Km_C00003: 0.146938637; Km_C04646: 0.013398461,Kcat_F: 3.0460149343333334; Kcat_R: 5.692930495,C00655;C00004;C00130;C00080;C16618;C00001;C00003;C04646,C04646_KI: 0.013398461;C00001_KI: 4.488901615;C00655_KI: 0.036233123;C00003_KI: 0.146938637;C16618_KI: 1.4026414857142857;C00130_KI: 0.03754345;C00004_KI: 0.046484388;C00080_KI: 5.048990726,
335,,6.1.1.3,Escherichia coli,R336,Threonine-trna ligase,R03663,MRL,C00002; C00188; C01651,C00013; C00020; C02992,Km_C00013: 0.136936635; Km_C00020: 0.025268234; Km_C02992: 0.06833203299999999; Km_C00002: 0.046611827; Km_C00188: 0.132813469; Km_C01651: 3e-05,Kcat_F: 28.958055132222217; Kcat_R: 85.070744195,C02992;C00188;C00020;C01651;C00013;C00002,C00188_KI: 0.132813469;C00020_KI: 0.025268234;C02992_KI: 0.08540754125;C01651_KI: 0.08540754125;C00013_KI: 0.136936635;C00002_KI: 0.046611827,
336,,6.1.1.22,Escherichia coli,R337,Asparagine-trna ligase,R03648,MRL,C00002; C00152; C01637,C00013; C00020; C03402,Km_C00013: 0.10072536; Km_C00020: 0.038245004; Km_C03402: 0.06428387125000001; Km_C00002: 0.04164549; Km_C00152: 0.076519631; Km_C01637: 0.06428387125000001,Kcat_F: 2.3635754395; Kcat_R: 1.2751226974999998,C01637;C00020;C03402;C00152;C00013;C00002,C00020_KI: 0.038245004;C00002_KI: 0.04164549;C00013_KI: 0.10072536;C01637_KI: 0.06428387125000001;C00152_KI: 0.076519631;C03402_KI: 0.06428387125000001,
337,,6.1.1.21,Escherichia coli,R338,Histidine-trna ligase,R03655,MRL,C00002; C00135; C01643,C00013; C00020; C02988,Km_C00013: 0.137552559; Km_C00020: 0.03928145; Km_C02988: 0.0661823734; Km_C00002: 0.071193345; Km_C00135: 0.073634513; Km_C01643: 0.00925,Kcat_F: 1.5855467633333333; Kcat_R: 1.650474209,C02988;C00020;C01643;C00013;C00002;C00135,C00013_KI: 0.137552559;C00002_KI: 0.071193345;C00020_KI: 0.03928145;C00135_KI: 0.073634513;C02988_KI: 0.08041546675;C01643_KI: 0.08041546675,
338,,6.1.1.10,Escherichia coli,R339,Methionine-trna ligase,R03659,MRL,C00002; C00073; C01647,C00013; C00020; C02430,Km_C00013: 0.179405659; Km_C00020: 0.049729425; Km_C02430: 10.093594786199999; Km_C00002: 0.085898831; Km_C00073: 0.147100016; Km_C01647: 50.00584,Kcat_F: 7.6416249; Kcat_R: 4.5975401445,C05336;C00020;C02430;C01647;C05335;C00013;C00073;C00002,C00073_KI: 0.147100016;C05336_KI: 0.1465278302;C00020_KI: 0.049729425;C00013_KI: 0.179405659;C05335_KI: 0.27050522;C00002_KI: 0.085898831;C01647_KI: 0.1465278302;C02430_KI: 0.1465278302,
340,,6.3.4.14,Escherichia coli,R341,Biotin carboxylase,R04385,MRL,C00002; C00288; C06250,C00008; C00009; C04419,Km_C00008: 0.028477727; Km_C00009: 0.98047787; Km_C04419: 6.095770853866667; Km_C00002: 0.043465339; Km_C00288: 29.266433333333335; Km_C06250: 0.16,Kcat_F: 5.698406123999999; Kcat_R: 0.05173266,C06250;C00009;C00288;C00008;C00002;C04419,C00008_KI: 0.028477727;C04419_KI: 0.55946083925;C00002_KI: 0.043465339;C06250_KI: 0.55946083925;C00288_KI: 1.185422421;C00009_KI: 0.98047787,
341,,6.1.1.1,Escherichia coli,R342,Tyrosine-trna ligase,R02918,MRL,C00002; C00082; C00787,C00013; C00020; C02839,Km_C00013: 0.228255823; Km_C00020: 0.04558317; Km_C02839: 0.0002; Km_C00002: 0.067798696; Km_C00082: 0.034101155; Km_C00787: 0.018,Kcat_F: 2.2713980033333336; Kcat_R: 1.7989505475,C00020;C02839;C00787;C00013;C00002;C00082,C00013_KI: 0.228255823;C00787_KI: 0.09393471099999999;C00020_KI: 0.04558317;C00082_KI: 0.034101155;C00002_KI: 0.067798696;C02839_KI: 0.09393471099999999,
345,,6.3.5.2,Escherichia coli,R346,Gmp synthase (glutamine-hydrolysing),R08244,MRL,C00001; C00002; C00064; C16618,C00013; C00020; C00025; C16619,Km_C00013: 0.292456239; Km_C00020: 0.061671037; Km_C00025: 0.988497317; Km_C16619: 0.5927631661666666; Km_C00001: 1.769340515; Km_C00002: 0.074884042; Km_C00064: 0.369729847; Km_C16618: 0.5927631661666666,Kcat_F: 3.5473377129999997; Kcat_R: 2.371041356333333,C00655;C16619;C00020;C00064;C16618;C00014;C00001;C00025;C00013;C00144;C00002,C00014_KI: 3.654191256;C00064_KI: 0.369729847;C00655_KI: 0.066067107;C00013_KI: 0.292456239;C00020_KI: 0.061671037;C16619_KI: 0.8152054875555556;C16618_KI: 0.8152054875555556;C00025_KI: 0.988497317;C00144_KI: 0.060012028;C00001_KI: 1.769340515;C00002_KI: 0.074884042,
347,,6.1.1.6,Escherichia coli,R348,Lysine-trna ligase,R03658,MRL,C00002; C00047; C01646,C00013; C00020; C01931,Km_C00013: 0.061598036; Km_C00020: 0.022625865; Km_C01931: 0.0243029012; Km_C00002: 0.021407852; Km_C00047: 0.011582753; Km_C01646: 0.0043,Kcat_F: 21.763511073333333; Kcat_R: 33.43177057666667,C00047;C01931;C00020;C00013;C01646;C00002,C01931_KI: 0.0293036265;C01646_KI: 0.0293036265;C00020_KI: 0.022625865;C00002_KI: 0.021407852;C00013_KI: 0.061598036;C00047_KI: 0.011582753,
349,,2.7.4.6,Escherichia coli,R350,Nucleoside-diphosphate kinase,R00124,MRL,,C00002; C00008,Km_C00002: 0.044982295; Km_C00008: 0.044687353,Kcat_F: 19.78221183941891; Kcat_R: 2.490197103,C00361;C01344;C00201;C00286;C01345;C00044;C00081;C11039;C00075;C00131;C00104;C00015;C00459;C00112;C00002;C11038;C00363;C00705;C00458;C00035;C00206;C00008;C01346;C00454;C00063;C00460,C00015_KI: 0.146697119;C01345_KI: 0.033701587;C00131_KI: 0.032157894;C00458_KI: 0.041482605;C00459_KI: 0.07205452;C11039_KI: 0.053830164181818185;C00361_KI: 0.034039162;C00286_KI: 0.032053493;C01344_KI: 0.037843809;C00063_KI: 0.034876551;C00035_KI: 0.037396517;C00044_KI: 0.03311104;C00081_KI: 0.038287628;C00075_KI: 0.122390293;C01346_KI: 0.094298355;C00454_KI: 0.053830164181818185;C00363_KI: 0.071746349;C00002_KI: 0.044982295;C11038_KI: 0.053830164181818185;C00705_KI: 0.042200845;C00201_KI: 0.053830164181818185;C00008_KI: 0.044687353;C00206_KI: 0.029951658;C00104_KI: 0.048623119;C00112_KI: 0.037695441;C00460_KI: 0.073985979,
350,,2.7.4.6,Escherichia coli,R351,Nucleoside-diphosphate kinase,R00139,MRL,C00002; C11038,C00008; C11039,Km_C00008: 0.044687353; Km_C11039: 0.044834823999999995; Km_C00002: 0.044982295; Km_C11038: 0.044834823999999995,Kcat_F: 2.097651221; Kcat_R: 2.882742985,C00361;C01344;C00201;C00286;C01345;C00044;C00081;C11039;C00075;C00131;C00104;C00015;C00459;C00112;C00002;C11038;C00363;C00705;C00458;C00035;C00206;C00008;C01346;C00454;C00063;C00460,C00015_KI: 0.146697119;C01345_KI: 0.033701587;C00131_KI: 0.032157894;C00458_KI: 0.041482605;C00459_KI: 0.07205452;C11039_KI: 0.053830164181818185;C00361_KI: 0.034039162;C00286_KI: 0.032053493;C01344_KI: 0.037843809;C00063_KI: 0.034876551;C00035_KI: 0.037396517;C00044_KI: 0.03311104;C00081_KI: 0.038287628;C00075_KI: 0.122390293;C01346_KI: 0.094298355;C00454_KI: 0.053830164181818185;C00363_KI: 0.071746349;C00002_KI: 0.044982295;C11038_KI: 0.053830164181818185;C00705_KI: 0.042200845;C00201_KI: 0.053830164181818185;C00008_KI: 0.044687353;C00206_KI: 0.029951658;C00104_KI: 0.048623119;C00112_KI: 0.037695441;C00460_KI: 0.073985979,
360,,2.7.4.6,Escherichia coli,R361,Nucleoside-diphosphate kinase,R03530,MRL,C00002; C01344,C00008; C01345,Km_C00008: 0.044687353; Km_C01345: 0.033701587; Km_C00002: 0.044982295; Km_C01344: 0.037843809,Kcat_F: 1.2685562145; Kcat_R: 1.6239492065,C00361;C01344;C00201;C00286;C01345;C00044;C00081;C11039;C00075;C00131;C00104;C00015;C00459;C00112;C00002;C11038;C00363;C00705;C00458;C00035;C00206;C00008;C01346;C00454;C00063;C00460,C00015_KI: 0.146697119;C01345_KI: 0.033701587;C00131_KI: 0.032157894;C00458_KI: 0.041482605;C00459_KI: 0.07205452;C11039_KI: 0.053830164181818185;C00361_KI: 0.034039162;C00286_KI: 0.032053493;C01344_KI: 0.037843809;C00063_KI: 0.034876551;C00035_KI: 0.037396517;C00044_KI: 0.03311104;C00081_KI: 0.038287628;C00075_KI: 0.122390293;C01346_KI: 0.094298355;C00454_KI: 0.053830164181818185;C00363_KI: 0.071746349;C00002_KI: 0.044982295;C11038_KI: 0.053830164181818185;C00705_KI: 0.042200845;C00201_KI: 0.053830164181818185;C00008_KI: 0.044687353;C00206_KI: 0.029951658;C00104_KI: 0.048623119;C00112_KI: 0.037695441;C00460_KI: 0.073985979,
361,,1.15.1.1,Escherichia coli,R362,Superoxide dismutase,R00275,MRL,C00080; C00704,C00007; C00027,Km_C00007: 0.053577088; Km_C00027: 0.795091689; Km_C00080: 0.318160266; Km_C00704: 0.331186861,Kcat_F: 8.729575341; Kcat_R: 1952.521292,C00007;C00027;C00704;C00080,C00080_KI: 0.318160266;C00027_KI: 0.795091689;C00704_KI: 0.331186861;C00007_KI: 0.053577088,
363,,2.7.7.8,Escherichia coli,R364,Polyribonucleotide nucleotidyltransferase,R07282,MRL,C00009,C00046; C00454,Km_C00046: 0.722295582; Km_C00454: 0.722295582; Km_C00009: 0.722295582,Kcat_F: 74.26703897; Kcat_R: 19.78221183941891,C00454;C00015;C00009;C00035;C00112;C00008;C00046,C00112_KI: 0.058480415;C00046_KI: 0.216159205;C00035_KI: 0.050594199;C00009_KI: 0.722295582;C00015_KI: 0.183979571;C00008_KI: 0.065446258;C00454_KI: 0.216159205,
364,,2.7.7.8,Escherichia coli,R365,Polyribonucleotide nucleotidyltransferase,R00437,MRL,C00009,C00008; C00046,Km_C00008: 0.065446258; Km_C00046: 0.39387092; Km_C00009: 0.722295582,Kcat_F: 74.26703897; Kcat_R: 44.24138771,C00454;C00015;C00009;C00035;C00112;C00008;C00046,C00112_KI: 0.058480415;C00046_KI: 0.216159205;C00035_KI: 0.050594199;C00009_KI: 0.722295582;C00015_KI: 0.183979571;C00008_KI: 0.065446258;C00454_KI: 0.216159205,
